match_id,source_file,fecha,campeonato,rival,condicion,resultado,goles_favor,goles_contra,resultado_partido,puntos,tiene_datos_jugadores
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,1,0,W,3,True
match:2022-01-26:visitante:bucaramanga,2022-01-26_Visitante_Bucaramanga.json,2022-01-26,Primera A,Bucaramanga,Visitante,0 - 0,0,0,D,1,True
match:2022-01-30:local:atletico_nacional,2022-01-30_Local_Atletico_Nacional.json,2022-01-30,Primera A,Atletico Nacional,Local,0 - 2,0,2,L,0,True
match:2022-02-02:visitante:envigado,2022-02-02_Visitante_Envigado.json,2022-02-02,Primera A,Envigado,Visitante,0 - 0,0,0,D,1,True
match:2022-02-07:local:union_magdalena,2022-02-07_Local_Union_Magdalena.json,2022-02-07,Primera A,Union Magdalena,Local,1 - 0,1,0,W,3,True
match:2022-02-13:visitante:deportivo_cali,2022-02-13_Visitante_Deportivo_Cali.json,2022-02-13,Primera A,Deportivo Cali,Visitante,0 - 2,2,0,W,3,True
match:2022-02-17:local:rionegro_aguilas,2022-02-17_Local_Rionegro_Aguilas.json,2022-02-17,Primera A,Rionegro Aguilas,Local,2 - 0,2,0,W,3,True
match:2022-02-20:visitante:jaguares,2022-02-20_Visitante_Jaguares.json,2022-02-20,Primera A,Jaguares,Visitante,1 - 2,2,1,W,3,True
match:2022-02-23:local:fluminense,2022-02-23_Local_Fluminense.json,2022-02-23,CONMEBOL Libertadores,Fluminense,Local,1 - 2,1,2,L,0,True
match:2022-02-27:local:cortulua,2022-02-27_Local_Cortulua.json,2022-02-27,Primera A,Cortulua,Local,1 - 0,1,0,W,3,True
match:2022-03-02:visitante:fluminense,2022-03-02_Visitante_Fluminense.json,2022-03-02,CONMEBOL Libertadores,Fluminense,Visitante,2 - 0,0,2,L,0,True
match:2022-03-07:visitante:santa_fe,2022-03-07_Visitante_Santa_Fe.json,2022-03-07,Primera A,Santa Fe,Visitante,0 - 3,3,0,W,3,True
match:2022-03-19:local:once_caldas,2022-03-19_Local_Once_Caldas.json,2022-03-19,Primera A,Once Caldas,Local,1 - 0,1,0,W,3,True
match:2022-03-24:visitante:independiente_medellin,2022-03-24_Visitante_Independiente_Medellin.json,2022-03-24,Primera A,Independiente Medellin,Visitante,1 - 0,0,1,L,0,True
match:2022-03-31:local:junior,2022-03-31_Local_Junior.json,2022-03-31,Primera A,Junior,Local,1 - 0,1,0,W,3,True
match:2022-04-03:visitante:america_de_cali,2022-04-03_Visitante_America_de_Cali.json,2022-04-03,Primera A,America de Cali,Visitante,3 - 2,2,3,L,0,True
match:2022-04-09:local:la_equidad,2022-04-09_Local_La_Equidad.json,2022-04-09,Primera A,La Equidad,Local,2 - 1,2,1,W,3,True
match:2022-04-17:visitante:deportivo_pereira,2022-04-17_Visitante_Deportivo_Pereira.json,2022-04-17,Primera A,Deportivo Pereira,Visitante,1 - 0,0,1,L,0,True
match:2022-04-22:local:jaguares,2022-04-22_Local_Jaguares.json,2022-04-22,Copa Colombia,Jaguares,Local,3 - 0,3,0,W,3,False
match:2022-04-25:local:santa_fe,2022-04-25_Local_Santa_Fe.json,2022-04-25,Primera A,Santa Fe,Local,2 - 1,2,1,W,3,True
match:2022-05-01:visitante:patriotas,2022-05-01_Visitante_Patriotas.json,2022-05-01,Primera A,Patriotas,Visitante,1 - 2,2,1,W,3,True
match:2022-05-09:local:deportes_tolima,2022-05-09_Local_Deportes_Tolima.json,2022-05-09,Primera A,Deportes Tolima,Local,0 - 0,0,0,D,1,True
match:2022-05-11:visitante:jaguares,2022-05-11_Visitante_Jaguares.json,2022-05-11,Copa Colombia,Jaguares,Visitante,1 - 1,1,1,D,1,False
match:2022-05-14:local:alianza_petrolera,2022-05-14_Local_Alianza_Petrolera.json,2022-05-14,Primera A,Alianza Petrolera,Local,1 - 0,1,0,W,3,True
match:2022-05-22:local:bucaramanga,2022-05-22_Local_Bucaramanga.json,2022-05-22,Primera A,Bucaramanga,Local,1 - 0,1,0,W,3,True
match:2022-06-01:visitante:atletico_nacional,2022-06-01_Visitante_Atletico_Nacional.json,2022-06-01,Primera A,Atletico Nacional,Visitante,2 - 2,2,2,D,1,True
match:2022-06-05:visitante:junior,2022-06-05_Visitante_Junior.json,2022-06-05,Primera A,Junior,Visitante,2 - 1,1,2,L,0,True
match:2022-06-08:local:junior,2022-06-08_Local_Junior.json,2022-06-08,Primera A,Junior,Local,0 - 0,0,0,D,1,True
match:2022-06-12:local:atletico_nacional,2022-06-12_Local_Atletico_Nacional.json,2022-06-12,Primera A,Atletico Nacional,Local,0 - 0,0,0,D,1,True
match:2022-06-15:visitante:bucaramanga,2022-06-15_Visitante_Bucaramanga.json,2022-06-15,Primera A,Bucaramanga,Visitante,2 - 1,1,2,L,0,True
match:2022-07-09:local:deportivo_pasto,2022-07-09_Local_Deportivo_Pasto.json,2022-07-09,Primera A,Deportivo Pasto,Local,1 - 1,1,1,D,1,True
