match_id,source_file,fecha,campeonato,rival,condicion,resultado,jugador,jugador_id,posicion,minutos,calificacion,titular,goles,asistencias,remates_totales,remates_al_arco,pases_totales,pases_precision,entradas,intercepciones,despejes,duelos_totales,duelos_ganados,faltas_cometidas,faltas_recibidas,amarillas,rojas,pases_precision_num,jugo,goles_por90,asistencias_por90,remates_totales_por90,remates_al_arco_por90,duelos_ganados_por90,faltas_cometidas_por90,anio
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Andres Gomez,,M,45,6.3,True,0,0,1,1,5,2%,1,1,0,4,1,1,0,0,0,0.02,True,0.0,0.0,2.0,2.0,2.0,2.0,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Andrés Llinás,,D,90,7.5,True,0,0,0,0,67,63%,3,3,0,8,6,0,0,0,0,0.63,True,0.0,0.0,0.0,0.0,6.0,0.0,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Andrés Murillo,,D,0,,False,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0.0,False,,,,,,,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Daniel Ruiz,,M,74,6.6,True,0,0,0,0,57,46%,0,0,0,11,5,2,3,0,0,0.46,True,0.0,0.0,0.0,0.0,6.081081081081082,2.4324324324324325,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,David Macalister Silva,,F,89,7.5,True,0,0,2,1,99,89%,0,0,1,9,3,1,2,1,0,0.89,True,0.0,0.0,2.0224719101123596,1.0112359550561798,3.033707865168539,1.0112359550561798,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Diego Herazo,,F,81,7.3,True,1,0,4,2,6,1%,0,1,0,8,4,0,0,0,0,1.0,True,1.1111111111111112,0.0,4.444444444444445,2.2222222222222223,4.444444444444445,0.0,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Elvis Perlaza,,D,90,7.3,True,0,0,0,0,58,49%,2,1,0,7,5,1,1,0,0,0.49,True,0.0,0.0,0.0,0.0,5.0,1.0,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Jader Valencia,,F,9,6.5,False,0,0,0,0,4,3%,0,0,0,3,0,1,0,0,0,0.03,True,0.0,0.0,0.0,0.0,0.0,10.0,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Jorge Rengifo,,F,45,6.9,False,0,0,1,0,21,18%,0,1,0,3,1,0,0,0,0,0.18,True,0.0,0.0,2.0,0.0,2.0,0.0,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Juan Moreno,,G,0,,False,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0.0,False,,,,,,,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Juan Pablo Vargas,,D,90,7.0,True,0,0,0,0,62,52%,1,0,0,9,5,3,0,0,0,0.52,True,0.0,0.0,0.0,0.0,5.0,3.0,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Juan Pereira,,M,1,,False,0,0,0,0,8,8%,0,0,0,0,0,0,0,0,0,0.08,True,0.0,0.0,0.0,0.0,0.0,0.0,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Larry Vásquez,,M,89,7.2,True,0,0,1,0,88,82%,3,0,1,10,4,1,0,0,0,0.82,True,0.0,0.0,1.0112359550561798,0.0,4.044943820224719,1.0112359550561798,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Omar Bertel,,D,90,7.7,True,0,0,0,0,65,54%,5,0,0,9,6,2,0,0,0,0.54,True,0.0,0.0,0.0,0.0,6.0,2.0,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Oscar Cortés,,M,1,,False,0,0,1,1,4,4%,0,0,0,1,1,0,1,0,0,0.04,True,0.0,0.0,90.0,90.0,90.0,0.0,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Stiven Vega,,M,90,7.9,True,0,1,0,0,107,101%,2,0,0,8,4,3,0,0,0,1.01,True,0.0,1.0,0.0,0.0,4.0,3.0,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Yuber Quiñones,,F,16,6.9,False,0,0,1,0,13,13%,0,0,0,2,1,1,1,0,0,0.13,True,0.0,0.0,5.625,0.0,5.625,5.625,2022
match:2022-01-22:visitante:deportivo_pasto,2022-01-22_Visitante_Deportivo_Pasto.json,2022-01-22,Primera A,Deportivo Pasto,Visitante,0 - 1,Álvaro Montero,,G,90,7.5,True,0,0,0,0,10,10%,0,0,0,3,2,1,0,1,0,0.1,True,0.0,0.0,0.0,0.0,2.0,1.0,2022
