jugador,anio,posicion,partidos_jugados,titularidades,minutos_totales,goles,asistencias,remates_totales,remates_al_arco,duelos_totales,duelos_ganados,amarillas,rojas,calificacion_promedio,pases_precision_promedio,goles_por90,asistencias_por90,duelos_ganados_pct
Alex Moreno,2022,D,1,1,90,0,0,0,0,2,1,0,0,6.2,0.14,0.0,0.0,0.5
Andres Gomez,2022,M,37,29,2447,8,2,61,35,257,102,4,0,6.7405405405405405,0.1354054054054054,0.29423784225582345,0.07355946056395586,0.3968871595330739
Andrés Llinás,2022,D,41,40,3634,0,0,17,4,330,186,9,0,6.997560975609756,0.4251219512195122,0.0,0.0,0.5636363636363636
Andrés Murillo,2022,D,15,12,1132,0,1,6,1,75,46,3,0,6.714285714285714,0.32599999999999996,0.0,0.07950530035335689,0.6133333333333333
Andrés Román,2022,D,6,6,501,0,0,2,0,34,20,0,0,6.916666666666667,0.22166666666666668,0.0,0.0,0.5882352941176471
Daniel Cataño,2022,M,18,5,755,0,2,13,4,120,66,2,0,6.822222222222222,0.21833333333333335,0.0,0.23841059602649006,0.55
Daniel Ruiz,2022,M,45,42,3573,6,6,65,36,365,181,6,0,7.155555555555556,0.29133333333333333,0.15113350125944583,0.15113350125944583,0.4958904109589041
David Macalister Silva,2022,M,35,31,2699,4,4,43,15,219,97,1,0,7.034285714285714,0.4208571428571429,0.1333827343460541,0.1333827343460541,0.4429223744292237
David Silva,2022,M,6,6,522,0,0,7,4,39,19,1,0,7.05,0.5499999999999999,0.0,0.0,0.48717948717948717
Dewar Victoria,2022,M,9,6,413,0,0,1,1,37,20,2,0,6.6875,0.29444444444444445,0.0,0.0,0.5405405405405406
Diego Abadia,2022,F,5,0,73,0,0,4,1,10,4,0,0,6.475,0.426,0.0,0.0,0.4
Diego Herazo,2022,F,40,20,1698,8,1,40,22,110,42,3,0,6.683333333333334,0.207,0.4240282685512367,0.05300353356890459,0.38181818181818183
Edgar Guerra,2022,F,20,4,696,2,0,9,6,83,41,3,0,6.7,0.1545,0.25862068965517243,0.0,0.4939759036144578
Eduardo Sosa,2022,M,22,14,1173,3,0,33,14,136,72,7,1,6.713636363636363,0.19454545454545455,0.23017902813299235,0.0,0.5294117647058824
Elvis Perlaza,2022,D,30,25,2123,0,0,6,2,163,81,9,1,6.785714285714286,0.31933333333333336,0.0,0.0,0.49693251533742333
Israel Alba,2022,D,19,16,1425,1,0,12,5,113,58,3,0,6.863157894736842,0.29684210526315785,0.06315789473684211,0.0,0.5132743362831859
Jader Valencia,2022,F,39,11,1297,6,0,31,14,167,59,6,0,6.728571428571429,0.1358974358974359,0.4163454124903624,0.0,0.3532934131736527
Jorge Rengifo,2022,F,2,0,80,0,0,1,0,7,3,0,0,6.7,0.11499999999999999,0.0,0.0,0.42857142857142855
José Cuenú,2022,D,20,12,1220,0,1,7,1,75,41,5,0,6.838888888888889,0.254,0.0,0.07377049180327869,0.5466666666666666
Juan García,2022,M,17,6,535,0,0,0,0,56,24,1,0,6.583333333333333,0.24058823529411763,0.0,0.0,0.42857142857142855
Juan Moreno,2022,G,4,3,319,0,0,0,0,6,4,1,0,6.6,0.10500000000000001,0.0,0.0,0.6666666666666666
Juan Pablo Vargas,2022,D,34,34,3013,2,1,24,10,181,123,2,0,7.102941176470588,0.42411764705882354,0.05974112180550946,0.02987056090275473,0.6795580110497238
Juan Pereira,2022,M,41,30,2692,4,2,32,17,240,119,4,0,7.087179487179487,0.3858536585365854,0.1337295690936107,0.06686478454680535,0.49583333333333335
